                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0802,                 2.8023,                 1.3217,                0.46988,                0.66144,                0.65368,                0.53665,                0.74409,                 1.9225,                 1.1218,             0.00010983,             0.00010983,             0.00010983
                      2,                0.90285,                 1.8165,                 1.1897,                0.76168,                0.69977,                0.81177,                 0.6424,                0.95602,                 1.4716,                 1.2534,             0.00021354,             0.00021354,             0.00021354
                      3,                0.90305,                 1.6681,                 1.2029,                0.60984,                0.72109,                0.77575,                0.61228,                0.98369,                 1.5272,                 1.3089,             0.00030993,             0.00030993,             0.00030993
                      4,                0.91747,                 1.6226,                 1.2029,                0.78846,                0.62079,                0.79645,                0.65352,                 0.8238,                 1.2517,                 1.1558,             0.00030003,             0.00030003,             0.00030003
                      5,                0.88084,                 1.4672,                 1.1728,                0.71659,                0.83717,                0.89697,                0.74856,                0.81252,                 1.0181,                 1.1717,             0.00030003,             0.00030003,             0.00030003
                      6,                0.86609,                 1.4108,                 1.1732,                0.83557,                0.81626,                0.90872,                0.71437,                0.87359,                0.93284,                 1.1082,             0.00028904,             0.00028904,             0.00028904
                      7,                0.82996,                  1.296,                 1.1411,                0.84473,                0.79552,                0.90168,                0.73579,                0.76292,                0.84239,                 1.0258,             0.00027806,             0.00027806,             0.00027806
                      8,                0.81077,                 1.1729,                 1.1151,                 0.8057,                0.81112,                0.89697,                0.71188,                 0.9267,                0.95024,                 1.1125,             0.00026707,             0.00026707,             0.00026707
                      9,                0.79589,                 1.1516,                 1.1173,                0.77468,                0.89849,                0.93712,                0.80357,                0.69532,                 0.6939,                0.97536,             0.00025608,             0.00025608,             0.00025608
                     10,                0.77805,                 1.0854,                 1.1091,                0.91383,                  0.874,                0.93544,                0.78086,                0.74386,                0.64098,                 1.0142,             0.00024509,             0.00024509,             0.00024509
                     11,                0.74944,                 1.0314,                 1.0957,                0.87607,                0.87561,                0.94455,                0.78112,                0.82223,                0.65748,                 1.0409,              0.0002341,              0.0002341,              0.0002341
                     12,                0.73584,                0.98611,                 1.0886,                0.87888,                0.88049,                0.94901,                0.78717,                0.78424,                0.60958,                 1.0307,             0.00022311,             0.00022311,             0.00022311
                     13,                0.73981,                0.99281,                 1.0931,                 0.8692,                 0.8745,                0.94232,                0.75623,                0.86108,                0.65358,                 1.0728,             0.00021212,             0.00021212,             0.00021212
                     14,                0.71695,                0.92667,                 1.0746,                0.86998,                0.86316,                0.94319,                0.77384,                0.83819,                0.63469,                 1.0741,             0.00020113,             0.00020113,             0.00020113
                     15,                0.71191,                0.88588,                 1.0862,                0.89627,                0.84252,                0.94473,                0.76166,                0.86477,                0.65339,                 1.0618,             0.00019014,             0.00019014,             0.00019014
                     16,                0.69918,                0.83046,                 1.0668,                0.91731,                0.88548,                0.95766,                0.80157,                0.77083,                0.50855,                 1.0142,             0.00017915,             0.00017915,             0.00017915
                     17,                0.69462,                0.83164,                 1.0725,                0.90843,                0.86207,                0.94848,                0.79083,                0.80745,                0.57042,                 1.0313,             0.00016817,             0.00016817,             0.00016817
                     18,                0.67158,                0.78055,                 1.0511,                0.91914,                0.88421,                0.95369,                0.78329,                0.83841,                0.55641,                 1.0496,             0.00015718,             0.00015718,             0.00015718
                     19,                0.65547,                0.75129,                 1.0419,                0.87668,                0.90079,                0.93981,                0.77649,                0.80425,                0.57282,                 1.0287,             0.00014619,             0.00014619,             0.00014619
                     20,                 0.6506,                0.73424,                 1.0466,                0.91394,                 0.8891,                0.95285,                0.77041,                0.85793,                0.55349,                 1.0744,              0.0001352,              0.0001352,              0.0001352
                     21,                 0.4647,                0.29491,                0.91623,                0.92646,                0.87858,                0.95359,                0.80551,                0.72346,                  0.529,                 1.0038,             0.00012421,             0.00012421,             0.00012421
                     22,                0.46172,                0.29184,                0.91482,                0.92783,                0.85979,                0.94718,                0.79297,                0.74425,                 0.5393,                 1.0084,             0.00011322,             0.00011322,             0.00011322
                     23,                0.45227,                0.28378,                0.91048,                0.93451,                0.89055,                0.96044,                 0.7842,                0.84626,                0.48989,                 1.0521,             0.00010223,             0.00010223,             0.00010223
                     24,                0.44275,                0.26866,                0.89877,                0.93965,                 0.8985,                0.95677,                0.81566,                0.71756,                 0.4759,                0.99244,             9.1242e-05,             9.1242e-05,             9.1242e-05
                     25,                0.43125,                0.25677,                0.89587,                0.91136,                0.88988,                0.94234,                0.80529,                0.70544,                0.48385,                0.98026,             8.0253e-05,             8.0253e-05,             8.0253e-05
                     26,                0.41815,                0.24428,                0.89337,                0.92479,                0.91192,                0.95799,                 0.7982,                0.76829,                0.46919,                 1.0263,             6.9264e-05,             6.9264e-05,             6.9264e-05
                     27,                0.40223,                0.23297,                0.88788,                0.93004,                0.91546,                 0.9591,                0.79774,                  0.769,                 0.4519,                 1.0173,             5.8275e-05,             5.8275e-05,             5.8275e-05
                     28,                0.39925,                0.22329,                0.88333,                0.92314,                0.91043,                0.96863,                0.80331,                0.79827,                0.44118,                 1.0337,             4.7286e-05,             4.7286e-05,             4.7286e-05
                     29,                0.39151,                0.21236,                0.88236,                0.91197,                0.92412,                0.96152,                0.81812,                0.71478,                0.43476,                0.99805,             3.6297e-05,             3.6297e-05,             3.6297e-05
                     30,                0.37588,                0.20143,                 0.8658,                0.92619,                0.91793,                0.96176,                0.80877,                0.73371,                0.42679,                 1.0067,             2.5308e-05,             2.5308e-05,             2.5308e-05
